Taxon	18_DCM	23_DCM	25_DCM	30_DCM	32_DCM	34_DCM	36_DCM	38_DCM	39_DCM	41_DCM	42_DCM	52_DCM	64_DCM	65_DCM	66_DCM	68_DCM	72_DCM	76_DCM	109_DCM
AACY020068177	0.00782402415354755	0.00557606811845377	0.00592204362090667	0.00132401664840073	0.0037559718380689	0.000470268575608737	0.000269541778975741	0.00331722866962196	0.00241803970083788	0.000851587883869615	0.0028047274651614	0.00335331565534106	0.00145038025995277	0.00141019201792682	0.000913473737630043	0.000462962962962963	0.0011420785830211	0.00207042377610055	0.00085420306736556
AACY020075636	6.9010135863705e-05	0.000113028407806495	0.000361100220786992	0	0.000172868996731204	0.000174173546521754	0.00191674153938305	0.00201225282661752	0.00116684473935781	0.0017293784718583	0.00123478567648615	0.00213580412509415	0.000663208067585241	0.00221509613774807	0.00251205277848262	0.00073005698005698	0.000981786852070769	5.87354262723562e-05	0.00254966673137902
AACY020080403	9.48889368125944e-05	7.53522718709969e-05	9.28543424880837e-05	8.23551025321026e-05	0	1.74173546521754e-05	0.000259558750124788	0.000129501419534791	0.000140583703537086	0	0	5.15894716206317e-05	0.000136360537260517	0.00011590619325426	0.000279116975386958	0.00131766381766382	0	0.000176206278817069	1.294247071766e-05
AACY020095396	0.000284666810437783	7.53522718709969e-05	0.000134122939149454	0.00147605683769076	8.64344983656022e-05	3.48347093043509e-05	0.000199660577019068	0.000199232953130448	5.62334814148344e-05	0.000183418928833456	0.000282236726053978	0.000701616814040591	0.000452469055455351	0.000334840113845639	0.000101497081958894	0	0.000320583461900659	0.000293677131361781	3.882741215298e-05
AACY020105546	2.58788009488894e-05	5.65142039032477e-05	3.09514474960279e-05	0	0.000141438270052804	3.48347093043509e-05	1.99660577019068e-05	0	0.000154642073890795	1.31013520595325e-05	1.76397953783736e-05	0.00011349683756539	0	1.28784659171399e-05	0	0	2.00364663687912e-05	1.4683856568089e-05	0
AACY020125842	0.00534828552943714	0.000320247155451737	0.000423003115779048	0	0.00141438270052804	0.000365764447695684	0.00139762403913347	0.000826816755491358	0.000632626665916887	0.000406141913845509	0.000423355089080967	0.00139291573375705	0.00430155512994539	0.00486162088372033	0.00555696523724943	0.00642806267806268	0.00530966358772967	0.00343602243693284	0.00170840613473112
AACY020147130	0.000483070951045935	0.000263732951548489	0.000608711800755215	0	0.00039288408348001	3.48347093043509e-05	2.99490865528601e-05	0.000318772725008716	7.0291851768543e-05	0.0016900744156797	0.000264596930675604	0.000567484187826948	0.000607424211433211	0.000412110909348478	5.07485409794468e-05	0.000231481481481481	0.000280510529163077	0.000264309418225603	0.00015530964861192
AACY020159143	6.03838688807419e-05	7.53522718709969e-05	0.000103171491653426	9.50251183062723e-05	0.000141438270052804	0	0.000868523510032944	0.000179309657817403	0.000520159703087218	0.000209621632952521	8.81989768918681e-05	0.0001960399921584	0.000117765918543174	0.00011590619325426	0	1.78062678062678e-05	6.01093991063736e-05	5.87354262723562e-05	0.0008412605966479
AACY020187844	4.31313349148156e-05	1.88380679677492e-05	1.03171491653426e-05	0	5.50037716872014e-05	0	0.000618947788759109	0.000268964486726105	0.000393634369903841	0.000235824337071586	8.81989768918681e-05	1.03178943241263e-05	4.95856499129152e-05	1.93176988757099e-05	0	0	0	2.93677131361781e-05	0.0003882741215298
AACY020207233	0.00208755660987708	0.000470951699193731	0.000526174607432474	0.00137469671149741	0.00146152879054564	0.000592190058173964	0.00599980033942298	0.00722219455097873	0.00583422369678907	0.00458547322083639	0.00515082025048509	0.00273424199589348	0.00153095694106126	0.00111398730183261	0.000456736868815022	3.56125356125356e-05	0.00210382896872308	0.004287686117882	0.00254966673137902
AACY020255495	0.00143196031917188	0.00548187777861503	0.00110393496069166	0.000753865938563094	0.000589326125220015	0.00019159090117393	0.000928421683138664	0.000996164765652239	0.00133554518360232	0.00151975683890578	0.00132298465337802	0.00170245256348084	0.000607424211433211	0.00123633272804544	0.000380614057345851	0.000391737891737892	0.00192350077140396	0.000161522422248979	0.00221316249271986
AACY020276549	0.000284666810437783	0.000150704543741994	0.000216660132472195	0.000114030141967527	0.000125722906713603	0.000330929738391333	4.99151442547669e-05	0.000318772725008716	7.0291851768543e-05	0.00209621632952521	0.00169342035632387	0.000361126301344422	0.000347099549390406	0.00124921119396258	0.000304491245876681	0.000427350427350427	0.00212386543509187	0.000190890135385158	3.882741215298e-05
AACY020281370	6.9010135863705e-05	1.88380679677492e-05	2.06342983306853e-05	0	0.000251445813427206	0.000243842965130456	0.000149745432764301	0.000348657667978284	0.000365517629196424	3.93040561785976e-05	0.000123478567648615	0.000134132626213642	0.000334703136912178	0.00106891267112262	0.00327328089317432	0.000979344729344729	0.000260474062794286	0.000102786995976623	3.882741215298e-05
AACY020283857	0	3.76761359354985e-05	0.000144440088314797	5.06800630966786e-05	4.71460900176012e-05	0.000592190058173964	1.99660577019068e-05	0	0	9.17094644167278e-05	0.000105838772270242	2.06357886482527e-05	5.57838561520296e-05	4.50746307099898e-05	0.000101497081958894	0.000124643874643875	0.000420765793744615	8.81031394085343e-05	0
AACY020288370	0.000120767737761484	0.000320247155451737	0.00161979241895879	0	0.000699333668594418	0.00128888424426098	0.000109813317360487	0.00149424714847836	5.62334814148344e-05	0.00601352059532544	0.0130887281707532	0.000402397878640927	4.33874436738008e-05	0.00010302772733712	0.000101497081958894	0.00056980056980057	0.00120218798212747	0	0
AACY020302266	0.000784990295449644	0.000263732951548489	0.000185708684976167	0	0.000141438270052804	0.000818615668652245	1.99660577019068e-05	1.99232953130448e-05	1.40583703537086e-05	2.62027041190651e-05	3.52795907567472e-05	3.0953682972379e-05	0	1.93176988757099e-05	0	0	0.000280510529163077	0.000631405832427829	0
AACY020324837	0.000284666810437783	9.41903398387461e-05	1.03171491653426e-05	0.000956586190949808	7.8576816696002e-06	0	0.000359389038634322	0	0.000238992296013046	2.62027041190651e-05	1.76397953783736e-05	1.03178943241263e-05	2.47928249564576e-05	7.08315625442697e-05	2.53742704897234e-05	0	0	0	0.00102245518669514
AACY020329935	0.000793616562432607	0.000207218747645242	0.000154757237480139	1.26700157741696e-05	4.71460900176012e-05	0	2.99490865528601e-05	0	4.21751110611258e-05	2.62027041190651e-05	5.29193861351208e-05	0.000154768414861895	0.000204540805890775	4.50746307099898e-05	0.000583608221263639	0.00016025641025641	0.000100182331843956	4.40515697042671e-05	0.00059535365301236
AACY020371335	0.000327798145352599	0.000376761359354985	0.000237294430802881	0.00034209042590258	0.000683618305255217	0.000592190058173964	0.00329439952081462	0.00480151417044379	0.0017994714052747	0.00564668273765853	0.00299876521432351	0.00011349683756539	0.0039172663431203	0.00267872091076511	0.000837350926160873	0.000338319088319088	0.000701276322907692	0.00126281166485566	6.47123535883e-05
AACY020393406	0.000560707353892603	0.0012621505538392	0.000154757237480139	0.00257201320215644	1.57153633392004e-05	0	0	2.98849429695672e-05	1.40583703537086e-05	1.31013520595325e-05	1.76397953783736e-05	9.2861048917137e-05	0	1.28784659171399e-05	0	0	0.000100182331843956	1.4683856568089e-05	6.47123535883e-05
AACY020396101	0.000207030407591115	0.0012621505538392	0.00283721602046922	0.00036743045745092	0.00105292934372643	0.00552130142473961	9.98302885095338e-06	0.000259002839069582	4.21751110611258e-05	0.00343255423959753	0.00816722526018698	0.00499386085287714	0.00564656588383322	0.00412110909348478	0.00182694747526009	0.00292022792022792	0.0146065839828488	0.00301019059645825	0
AACY020398456	0.00145783912012077	0.00551955391455052	0.000443637414109733	0.00184982230302877	0.000817198893638421	1.74173546521754e-05	0.000529100529100529	0.000358619315634806	0.000745093628746556	0.000353736505607379	0.000723231610513318	0.00218739359671478	0.000849154254758673	0.000862857216448377	5.07485409794468e-05	1.78062678062678e-05	0.000741349255645274	0.000367096414202226	0.0011648223645894
AACY020403290	8.62626698296312e-06	9.41903398387461e-05	0.000247611579968223	0.000101360126193357	0.000282876540105607	0.00200299578500017	1.99660577019068e-05	6.97315335956567e-05	0	0.000432344617964574	0.000458634679837714	0.000319854724047916	0.00025412645580369	0.000154541591005679	0.000126871352448617	0.000427350427350427	0.00104189625117714	0.000176206278817069	1.294247071766e-05
AACY020428427	0.000733232693551865	0.000150704543741994	0.000257928729133566	0	0.000110007543374403	0.000156756191869579	8.98472596585804e-05	0.000139463067191313	0.000238992296013046	0.000733675715333822	5.29193861351208e-05	0.00011349683756539	0.000421478024259779	0.000457185540058468	0.000659731032732809	0.000551994301994302	0.000320583461900659	0.000117470852544712	0.00016825211932958
AACY020430088	1.72525339659262e-05	9.41903398387461e-05	8.25371933227411e-05	2.53400315483393e-05	0.000275018858436007	0.00217716933152193	0	9.96164765652239e-06	0	0.000275128393250183	7.05591815134944e-05	6.1907365944758e-05	0.00021073901212989	0.000296204716094219	0.000405988327835575	0.000534188034188034	0.0016029173095033	8.81031394085343e-05	0
AACY020431964	0.000784990295449644	0.000565142039032477	0.000474588861605761	0.00202086751598006	0.000927206437012824	0.00019159090117393	0.00242587601078167	0.00212183095083927	0.00243209807119159	0.00125772979771512	0.00112894690421591	0.00157863783159133	0.000477261880411809	0.00151965897822251	0.000938848008119767	0.00016025641025641	0.000420765793744615	0.000190890135385158	0.00223904743415518
AACY020443294	0.000905758033211128	0.000150704543741994	0.000763469038235355	0.000551145686176379	0.000479318581845612	0.00041801651165221	3.99321154038135e-05	0.00020919460078697	0.00060450992520947	0.000393040561785976	0.000229317339918857	0.000711934708364717	0.000495856499129152	0.000392793210472769	7.61228114691703e-05	0.000106837606837607	0.000360656394638242	0.000293677131361781	3.882741215298e-05
AACY020481938	0.00708216519301272	0.0181410594529425	0.00421971400862514	0.00852058560812908	0.000345737993462409	0	0.00515124288709194	0.000557852268765254	0.00175729629421357	0.000196520280892988	0.000317516316810725	0.00213580412509415	0.000452469055455351	0.000759829489111257	0.000431362598325298	0.000106837606837607	0.00034061992826945	0.000220257848521336	0.00533229793567592
AACY020487638	0.00270864783265042	0.00712078969180921	0.00257928729133566	0.00466256580489443	0.000605041488559215	6.96694186087017e-05	0.013696715583508	0.00407431389151766	0.0091519991002643	0.00146735143066764	0.000705591815134944	0.000773842074309475	0.000545442149042067	0.00147458434751252	0.00149708195889368	0.000124643874643875	6.01093991063736e-05	0.000190890135385158	0.0103669190448457
AACY020490277	0.000586586154841492	0.000508627835129229	0.000247611579968223	0.00120365149854612	0.000141438270052804	0	0.00158730158730159	0.000647507097673955	0.0011387279986504	0.000353736505607379	0.000388075498324219	0.000474623138909811	0.000204540805890775	0.000907931847158367	7.61228114691703e-05	7.12250712250712e-05	0.000380692861007033	8.81031394085343e-05	0.00205785284410794
AACY020518560	0.00204442527496226	0.000395599427322734	0.00058807750242453	0.0012923416089653	0.000267161176766407	0.000174173546521754	5.98981731057203e-05	0.000219156248443493	8.43502221222516e-05	0.000183418928833456	0.000211677544540483	0.000278583146751411	0.000223135424608118	0.000225373153549949	0.00126871352448617	0.00016025641025641	0.000360656394638242	0.000425831840474582	7.765482430596e-05
AACY020545456	0.00125943497951262	0.000452113631225981	0.000257928729133566	0.00103260628559483	0.000212157405079205	0.000104504127913053	0.00249575721273834	0.00210190765552622	0.0016307709610302	0.00284299339691856	0.00123478567648615	0.000453987350261559	0.000805766811084872	0.00195752681940527	0.00304491245876681	0.000534188034188034	0.000400729327375824	0.000411147983906493	0.00108716754028344
AACY020549891	0.0106620659909424	0.00465300278803406	0.00372449084868869	0.0140953925487637	3.9288408348001e-05	0	9.98302885095338e-06	9.96164765652239e-06	2.81167407074172e-05	1.31013520595325e-05	8.81989768918681e-05	0.000412715772965053	8.05766811084872e-05	4.50746307099898e-05	5.07485409794468e-05	0	0.000140255264581538	0.000337728701066048	9.059729502362e-05
AACY020551516	0.00132844511537632	0.00137517896164569	0.000804737634896725	0.00131134663262656	7.8576816696002e-06	0	1.99660577019068e-05	0	0	0	0	3.0953682972379e-05	6.1982062391144e-06	6.43923295856997e-06	0.000862725196650596	8.9031339031339e-05	4.00729327375824e-05	0	7.765482430596e-05
AACY020552977	0.00111278844080224	3.76761359354985e-05	4.12685966613705e-05	0.000430780536321768	0.00077791048529042	0.000365764447695684	0.000109813317360487	0.000637545450017433	0.00089973570263735	0.0022534325542396	0.000493914270594461	0.00050557682188219	0.000892541698432474	0.00120413656325259	0.000507485409794468	0.000249287749287749	0.000280510529163077	0.00045519955361076	0.00091891542095386
AACY020553637	0.00066422255768816	0.000188380679677492	0.000154757237480139	0.000411775512660513	0.000502891626854413	0.000209008255826105	9.98302885095338e-05	0.00041838920157394	0.000590451554855761	0.000393040561785976	0.000458634679837714	0.000268265252427285	0.000731388336215499	0.000721194091359837	7.61228114691703e-05	5.34188034188034e-05	0.000220401130056703	0.000161522422248979	0.00132013201320132
AACY020553861	1.72525339659262e-05	3.76761359354985e-05	0	0	0.000172868996731204	0.000104504127913053	9.98302885095338e-06	0	9.84085924759602e-05	6.55067602976627e-05	0.000211677544540483	0.00143418731105356	0.00015495515597786	9.65884943785496e-05	0	0	0.000180328197319121	7.34192828404452e-05	0
AACY020555729	0.00100927323700669	0.000866551126516464	0.000412685966613705	0.000918576143627299	0.000361453356801609	0.000156756191869579	0.000688828990715783	0.00152413209144793	0.00164482933138391	0.000471648674143172	0.000370435702945846	0.000763524179985349	0.000960721967062732	0.001287846591714	0.00175082466379092	0.00284900284900285	0.000761385722014066	0.000205573991953247	0.0051122759334757
AACY020555764	0.00103515203795557	9.41903398387461e-05	0.000505540309101789	0.000221725276047969	0.000479318581845612	0.000139338837217403	0.00144753918338824	0.000796931812521791	0.000745093628746556	0.00111361492506027	0.00111130710883754	0.00217707570239066	0.00116526277295351	0.000901492614199797	0.00261354986044151	0.00158475783475783	0.00104189625117714	0.000396464127338404	0.0023296447291788
