"Var1"	"Var2"	"weight"
"111"	"ph_971"	"AACY020147130"	0.848463756607088
"112"	"ph_1438"	"AACY020159143"	0.868363350124582
"113"	"ph_17357"	"AACY020159143"	0.823412227476516
"114"	"ph_2877"	"AACY020159143"	0.864875536229259
"115"	"ph_3677"	"AACY020159143"	0.80404746226872
"116"	"ph_6357"	"AACY020159143"	0.815761823918207
"117"	"ph_6780"	"AACY020159143"	0.883967597441566
"118"	"ph_1188"	"AACY020187844"	0.834639100118247
"119"	"ph_15759"	"AACY020187844"	0.842707268688256
"120"	"ph_16719"	"AACY020187844"	0.800118570437079
"121"	"ph_1703"	"AACY020187844"	0.855833833575943
"122"	"ph_17357"	"AACY020187844"	0.878282183585366
"123"	"ph_1762"	"AACY020187844"	0.847307586119911
"124"	"ph_18492"	"AACY020187844"	0.845904487458885
"125"	"ph_18855"	"AACY020187844"	0.876960344695573
"126"	"ph_193"	"AACY020187844"	0.886038704627039
"127"	"ph_19612"	"AACY020187844"	0.804247684637326
"128"	"ph_2333"	"AACY020187844"	0.852463815105165
"129"	"ph_2418"	"AACY020187844"	0.810567462662964
"130"	"ph_24577"	"AACY020187844"	0.849901962732455
"131"	"ph_3157"	"AACY020187844"	0.814761023306164
"132"	"ph_3280"	"AACY020187844"	0.813428029480718
"133"	"ph_3287"	"AACY020187844"	0.852800119410561
"134"	"ph_36155"	"AACY020187844"	0.840799367873078
"135"	"ph_3677"	"AACY020187844"	0.808975262272369
"136"	"ph_3681"	"AACY020187844"	0.832251500417516
"137"	"ph_3684"	"AACY020187844"	0.833679059369807
"138"	"ph_4339"	"AACY020187844"	0.806898286993293
"139"	"ph_5108"	"AACY020187844"	0.817244979832727
"140"	"ph_5609"	"AACY020187844"	0.815858666923439
"141"	"ph_5981"	"AACY020187844"	0.815666361029482
"142"	"ph_6357"	"AACY020187844"	0.862462632872549
"143"	"ph_6384"	"AACY020187844"	0.836229723878495
"144"	"ph_675"	"AACY020187844"	0.839054421754734
"145"	"ph_811"	"AACY020187844"	0.824930021293009
"146"	"ph_841"	"AACY020187844"	0.821973959715377
"147"	"ph_966"	"AACY020187844"	0.811936935365753
"148"	"ph_9944"	"AACY020187844"	0.841779389717331
"149"	"ph_1258"	"AACY020207233"	0.805575048128395
"150"	"ph_3164"	"AACY020207233"	0.81225172244631
"151"	"ph_1033"	"AACY020255495"	0.84874981445782
"152"	"ph_10996"	"AACY020255495"	0.873461673087275
"153"	"ph_11038"	"AACY020255495"	0.874078156262529
"154"	"ph_11040"	"AACY020255495"	0.811031194581001
"155"	"ph_11048"	"AACY020255495"	0.874120507243604
"156"	"ph_11096"	"AACY020255495"	0.873305397265996
"157"	"ph_1113"	"AACY020255495"	0.8253919843436
"158"	"ph_1208"	"AACY020255495"	0.827520476434748
"159"	"ph_13207"	"AACY020255495"	0.868515009541637
"160"	"ph_1346"	"AACY020255495"	0.866928260087016
"161"	"ph_14679"	"AACY020255495"	0.821371988348632
"162"	"ph_1572"	"AACY020255495"	0.819159619364335
"163"	"ph_16045"	"AACY020255495"	0.873548545672277
"164"	"ph_1909"	"AACY020255495"	0.874953384727289
"165"	"ph_1918"	"AACY020255495"	0.806599006143484
"166"	"ph_19894"	"AACY020255495"	0.874034614484808
"167"	"ph_2117"	"AACY020255495"	0.867888850960465
"168"	"ph_2231"	"AACY020255495"	0.85412419583607
"169"	"ph_2363"	"AACY020255495"	0.876429447512775
"170"	"ph_276"	"AACY020255495"	0.907186833391138
"171"	"ph_2775"	"AACY020255495"	0.819034937195923
"172"	"ph_2798"	"AACY020255495"	0.844333577167759
"173"	"ph_3217"	"AACY020255495"	0.876895544614449
"174"	"ph_3336"	"AACY020255495"	0.899382113219733
